tsa_id	tsa_str	ul_x	ul_y
38036	038036	-2218635.0	1652355.0
38037	038037	-1683075.0	1457445.0
39035	039035	-2194755.0	1486155.0
39036	039036	-1747575.0	1379655.0
39037	039037	-1592895.0	3066645.0
40035	040035	-1752285.0	1594575.0
40036	040036	-1832235.0	2381505.0
40037	040037	-1821825.0	1556955.0
41034	041034	-1669845.0	2985975.0
41035	041035	-1891245.0	1408125.0
41036	041036	-1746945.0	2843205.0
41037	041037	-1888155.0	1728525.0
42028	042028	-1824195.0	2699745.0
42029	042029	-1960095.0	1586565.0
42030	042030	-2158395.0	1797945.0
42031	042031	-1901595.0	2555775.0
42033	042033	-2005425.0	1438875.0
42034	042034	-1979325.0	2411445.0
42035	042035	-1949535.0	1865805.0
42036	042036	-2057235.0	2266845.0
43026	043026	-2135385.0	2122125.0
43027	043027	-2095485.0	1618365.0
43028	043028	-2213895.0	1977435.0
43029	043029	-2154885.0	1442625.0
43030	043030	-2268915.0	1832865.0
43031	043031	-1629195.0	2768265.0
43032	043032	-2220915.0	1649655.0
43033	043033	-1704075.0	2672295.0
43034	043034	-1779135.0	2527095.0
43035	043035	-1705575.0	3093135.0
43036	043036	-2005845.0	1974555.0
44026	044026	-1784835.0	3012795.0
44027	044027	-2081985.0	1943775.0
44028	044028	-1864245.0	2871285.0
44029	044029	-1943835.0	2729115.0
44030	044030	-2023575.0	2586405.0
44031	044031	-2103615.0	2443335.0
44032	044032	-2183865.0	2300025.0
44033	044033	-2264415.0	2156595.0
44034	044034	-2308815.0	2013225.0
44035	044035	-2276475.0	1822035.0
45026	045026	-1817775.0	3121485.0
45027	045027	-1899345.0	3041445.0
45028	045028	-1981035.0	2901255.0
45029	045029	-2062935.0	2760375.0
45030	045030	-2145015.0	2618985.0
45031	045031	-2227365.0	2477235.0
45032	045032	-2309925.0	2335245.0
45033	045033	-2348235.0	2193135.0
46026	046026	-1929525.0	3151725.0
46027	046027	-2013345.0	3071895.0
46028	046028	-2097315.0	2933055.0
46029	046029	-2181525.0	2793525.0
46030	046030	-2265885.0	2653485.0
46031	046031	-2313375.0	2513085.0
46032	046032	-2356155.0	2350485.0
47026	047026	-2011065.0	3172665.0
47027	047027	-2123775.0	3100875.0
47028	047028	-2162895.0	2963835.0
47029	047029	-2224665.0	2797035.0
47030	047030	-2288205.0	2640375.0
48026	048026	-2123475.0	3143265.0
48027	048027	-2126385.0	3120495.0
